model name,f1_score,precision_score,recall_score,subject
MHFP + Ridge Classifier,0.787878787878788,0.7647058823529411,0.8125,cv_2_task_11
MHFP + Ridge Classifier,0.9736842105263158,0.9736842105263158,0.9736842105263158,cv_2_task_12
MHFP + Ridge Classifier,0.9850746268656716,0.9705882352941176,1.0,cv_2_task_13
MHFP + Ridge Classifier,1.0,1.0,1.0,cv_2_task_14
MHFP + Ridge Classifier,0.923076923076923,1.0,0.8571428571428571,cv_3_task_0
MHFP + Ridge Classifier,1.0,1.0,1.0,cv_3_task_1
MHFP + Ridge Classifier,1.0,1.0,1.0,cv_3_task_2
MHFP + Ridge Classifier,1.0,1.0,1.0,cv_3_task_3
MHFP + Ridge Classifier,0.9090909090909091,0.8333333333333334,1.0,cv_3_task_4
MHFP + Ridge Classifier,0.4444444444444444,0.6666666666666666,0.3333333333333333,cv_3_task_5
MHFP + Ridge Classifier,0.8421052631578948,0.8888888888888888,0.8,cv_3_task_6
MHFP + Ridge Classifier,0.9090909090909091,0.8333333333333334,1.0,cv_3_task_7
MHFP + Ridge Classifier,1.0,1.0,1.0,cv_3_task_8
MHFP + Ridge Classifier,0.7142857142857143,0.625,0.8333333333333334,cv_3_task_9
MHFP + Ridge Classifier,0.8,1.0,0.6666666666666666,cv_3_task_10
MHFP + Ridge Classifier,0.9230769230769231,0.9473684210526315,0.9,cv_3_task_11
MHFP + Ridge Classifier,0.989247311827957,1.0,0.9787234042553191,cv_3_task_12
MHFP + Ridge Classifier,0.9824561403508771,1.0,0.9655172413793104,cv_3_task_13
MHFP + Ridge Classifier,0.9411764705882353,1.0,0.8888888888888888,cv_3_task_14
MHFP + Ridge Classifier,0.7368421052631577,0.7777777777777778,0.7,cv_4_task_0
MHFP + Ridge Classifier,1.0,1.0,1.0,cv_4_task_1
MHFP + Ridge Classifier,0.9090909090909091,1.0,0.8333333333333334,cv_4_task_2
MHFP + Ridge Classifier,0.9090909090909091,1.0,0.8333333333333334,cv_4_task_3
MHFP + Ridge Classifier,0.8333333333333333,1.0,0.7142857142857143,cv_4_task_4
MHFP + Ridge Classifier,0.5714285714285715,1.0,0.4,cv_4_task_5
MHFP + Ridge Classifier,0.8333333333333333,0.7142857142857143,1.0,cv_4_task_6
MHFP + Ridge Classifier,0.8,1.0,0.6666666666666666,cv_4_task_7
MHFP + Ridge Classifier,1.0,1.0,1.0,cv_4_task_8
MHFP + Ridge Classifier,0.888888888888889,0.9230769230769231,0.8571428571428571,cv_4_task_9
MHFP + Ridge Classifier,0.5454545454545454,0.5,0.6,cv_4_task_10
MHFP + Ridge Classifier,0.9,0.9,0.9,cv_4_task_11
MHFP + Ridge Classifier,0.8695652173913043,0.9375,0.8108108108108109,cv_4_task_12
MHFP + Ridge Classifier,0.9382716049382716,0.95,0.926829268292683,cv_4_task_13
MHFP + Ridge Classifier,0.972972972972973,1.0,0.9473684210526315,cv_4_task_14
Morgan FP + Ridge Classifier,1.0,1.0,1.0,cv_0_task_0
Morgan FP + Ridge Classifier,1.0,1.0,1.0,cv_0_task_1
Morgan FP + Ridge Classifier,1.0,1.0,1.0,cv_0_task_2
Morgan FP + Ridge Classifier,1.0,1.0,1.0,cv_0_task_3
Morgan FP + Ridge Classifier,0.923076923076923,1.0,0.8571428571428571,cv_0_task_4
Morgan FP + Ridge Classifier,0.6666666666666666,0.5,1.0,cv_0_task_5
Morgan FP + Ridge Classifier,0.7142857142857143,0.7142857142857143,0.7142857142857143,cv_0_task_6
Morgan FP + Ridge Classifier,0.75,0.75,0.75,cv_0_task_7
Morgan FP + Ridge Classifier,1.0,1.0,1.0,cv_0_task_8
Morgan FP + Ridge Classifier,0.7272727272727272,0.8,0.6666666666666666,cv_0_task_9
Morgan FP + Ridge Classifier,0.4,0.3333333333333333,0.5,cv_0_task_10
Morgan FP + Ridge Classifier,0.8275862068965517,0.75,0.9230769230769231,cv_0_task_11
Morgan FP + Ridge Classifier,0.9662921348314608,0.9772727272727273,0.9555555555555556,cv_0_task_12
Morgan FP + Ridge Classifier,1.0,1.0,1.0,cv_0_task_13
Morgan FP + Ridge Classifier,0.972972972972973,1.0,0.9473684210526315,cv_0_task_14
Morgan FP + Ridge Classifier,0.9142857142857143,0.9411764705882353,0.8888888888888888,cv_1_task_0
Morgan FP + Ridge Classifier,1.0,1.0,1.0,cv_1_task_1
Morgan FP + Ridge Classifier,1.0,1.0,1.0,cv_1_task_2
Morgan FP + Ridge Classifier,1.0,1.0,1.0,cv_1_task_3
Morgan FP + Ridge Classifier,0.6666666666666666,1.0,0.5,cv_1_task_4
Morgan FP + Ridge Classifier,0.6666666666666666,1.0,0.5,cv_1_task_5
Morgan FP + Ridge Classifier,0.36363636363636365,0.6666666666666666,0.25,cv_1_task_6
Morgan FP + Ridge Classifier,0.5714285714285715,1.0,0.4,cv_1_task_7
Morgan FP + Ridge Classifier,0.888888888888889,1.0,0.8,cv_1_task_8
Morgan FP + Ridge Classifier,0.7,0.7,0.7,cv_1_task_9
Morgan FP + Ridge Classifier,0.3333333333333333,0.5,0.25,cv_1_task_10
Morgan FP + Ridge Classifier,0.8,0.9090909090909091,0.7142857142857143,cv_1_task_11
Morgan FP + Ridge Classifier,0.9620253164556962,0.95,0.9743589743589743,cv_1_task_12
Morgan FP + Ridge Classifier,0.9393939393939394,0.9117647058823529,0.96875,cv_1_task_13
Morgan FP + Ridge Classifier,1.0,1.0,1.0,cv_1_task_14
